Red Wine,Red Fruit,Black Fruit,Floral,Herbal,Pepper,Earthy,Cooking Spice,Leather,Astringency,Body,Sweetness,Acidity,Alcohol
Barbera,5,2,1,5,3,5,3,2,4,3,1,5,4
Cabernet Franc,5,0,2,5,2,5,1,0,2,3,2,4,3
Cabernet Sauvignon,3,5,2,4,3,3,5,3,4,5,2,3,4
Carmenère,5,3,4,5,4,2,3,1,2,3,2,3,3
Malbec,2,5,3,2,2,3,4,0,2,4,2,2,4
Merlot,5,3,3,2,1,3,5,2,2,3,1,3,4
Monastrell,0,5,4,5,5,5,5,1,5,5,2,3,4
Montepulciano,4,2,2,4,4,3,1,3,4,4,2,4,3
Nero d'Avola,4,4,2,3,4,3,5,3,4,4,2,3,4
Petite Sirah,0,5,2,3,2,5,4,0,4,5,2,3,5
Pinot Noir,5,0,5,3,0,4,3,1,2,2,2,4,3
Pinotage,1,5,0,2,3,5,5,0,4,5,2,1,5
Sangiovese,5,3,0,4,4,3,2,5,4,4,1,4,4
Syrah,0,5,3,4,5,3,4,3,3,5,2,3,4
Tempranillo,5,2,0,4,3,4,2,3,4,4,2,4,4
Zinfandel,4,4,0,0,5,1,4,2,2,4,2,2,5